title,total_views,total_answers
Host 'xxx.xx.xxx.xxx' is not allowed to connect to this MySQL server,1128688,24
How to change a string into uppercase,1128478,6
How to clone all remote branches in Git?,1128302,36
How do I detect a click outside an element?,1126440,77
How to add new elements to an array?,1126284,17
How to validate an email address using a regular expression?,1125871,73
How do I fix android.os.NetworkOnMainThreadException?,1125313,54
application/x-www-form-urlencoded or multipart/form-data?,1125218,6
ORA-12514 TNS:listener does not currently know of service requested in connect descriptor,1124472,20
Converting an integer to a string in PHP,1123688,13
How to check if a column exists in a SQL Server table?,1120574,29
How do I parse XML in Python?,1119488,14
Check if table exists in SQL Server,1118732,25
How do I manually fire HTTP POST requests with Firefox or Chrome?,1117158,12
How can I get a list of locally installed Python modules?,1115584,26
How can I pretty-print JSON in a shell script?,1114688,53
error: 'Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2)' -- Missing /var/run/mysqld/mysqld.sock,1113988,41
How do I trim whitespace from a string?,1113730,7
Are static class variables possible in Python?,1113094,17
How to compare strings in Bash,1109370,10
Get screen dimensions in pixels,1109292,39
Removing whitespace from strings in Java,1107837,31
"How to ""comment-out"" (add comment) in a batch/cmd?",1105480,8
How to read a text file into a string variable and strip newlines?,1102259,22
How do I pass command line arguments to a Node.js program?,1101331,29
Remove files from Git commit,1101098,25
A potentially dangerous Request.Form value was detected from the client,1100514,74
"How do I remedy the ""The breakpoint will not currently be hit. No symbols have been loaded for this document."" warning?",1100207,96
Extract substring in Bash,1099512,20
What is the Python equivalent for a case/switch statement?,1099090,2
How can I develop for iPhone using a Windows development machine?,1097144,40
Change navbar color in Twitter Bootstrap,1096376,14
How do I save a String to a text file using Java?,1095576,23
Detecting an undefined object property,1091627,41
Checking whether a variable is an integer or not,1090268,42
Importing files from different folder,1089575,22
Get url parameter jquery Or How to Get Query String Values In js,1089328,33
Batch file to delete files older than N days,1088934,23
"What is the difference between a URI, a URL and a URN?",1088467,31
How do I check if a file exists in Java?,1088284,23
Round a double to 2 decimal places,1088146,13
jQuery how to find an element based on a data-attribute value?,1087868,9
How to output MySQL query results in CSV format?,1087127,30
Could not open a connection to your authentication agent,1087001,35
How do you easily horizontally center a <div> using CSS?,1086588,22
What is the difference between a process and a thread?,1086557,33
Space between two rows in a table?,1085478,25
Convert java.util.Date to String,1085054,18
How to apply CSS to iframe?,1084713,26
How do I install and use curl on Windows?,1084090,21
Adding options to a <select> using jQuery?,1083264,28
Check if inputs are empty using jQuery,1083113,17
Does Java support default parameter values?,1081669,20
How to convert byte array to string,1080941,4
"How do I provide a username and password when running ""git clone git@remote.git""?",1079769,7
User input and command line arguments,1079601,12
Changing the color of an hr element,1078833,26
jQuery - setting the selected value of a select control via its text description,1076672,19
How to remove a directory from git repository?,1076634,14
Check existence of input argument in a Bash shell script,1076135,9
How can I sort a dictionary by key?,1075544,25
"How do you set, clear, and toggle a single bit?",1075179,27
How do you disable browser Autocomplete on web form field / input tag?,1075030,66
Running JAR file on Windows,1073978,25
SOAP vs REST (differences),1072768,10
How do you auto format code in Visual Studio?,1072578,27
"""Cross origin requests are only supported for HTTP."" error when loading a local file",1071426,22
How do I return multiple values from a function?,1071102,14
Batch file to copy files from one folder to another folder,1071020,8
"PostgreSQL ""DESCRIBE TABLE""",1071001,19
api-ms-win-crt-runtime-l1-1-0.dll is missing when opening Microsoft Office file,1070463,8
Finding the average of a list,1070094,24
Java: when to use static methods,1069532,21
How to get the current time in YYYY-MM-DD HH:MI:Sec.Millisecond format in Java?,1069196,12
Git push requires username and password,1067050,22
How do I trim whitespace?,1066580,15
How to get GET (query string) variables in Express.js on Node.js?,1065813,24
"IF statement: how to leave cell blank if condition is false ("""" does not work)",1065531,14
How to drop a table if it exists in SQL Server?,1063982,13
Get selected value of a dropdown's item using jQuery,1063716,30
How do I break out of nested loops in Java?,1063110,34
"""cannot resolve symbol R"" in Android Studio",1063087,96
Create an empty list in python with certain size,1062012,14
Loop through an array of strings in Bash?,1061568,18
ValueError: invalid literal for int() with base 10: '',1058672,14
How do I concatenate strings and variables in PowerShell?,1057467,19
"<meta charset=""utf-8""> vs <meta http-equiv=""Content-Type"">",1057002,8
How do I copy an object in Java?,1056285,21
Measure time elapsed in Python?,1055076,26
Python Print String To Text File,1054673,5
"What's the difference between using ""let"" and ""var""?",1054565,32
How to convert a char to a String?,1052720,11
What is the { get; set; } syntax in C#?,1050603,16
Is there a command to list all Unix group names?,1048569,3
jQuery get specific option tag text,1048442,20
How do I strip all spaces out of a string in PHP?,1047748,4
How to create Temp table with SELECT * INTO tempTable FROM CTE Query,1047391,5
How to center absolutely positioned element in div?,1046529,32
"How to make Git ""forget"" about a file that was tracked but is now in .gitignore?",1046484,24
How to check a not-defined variable in JavaScript,1045929,14
How do you display code snippets in MS Word preserving format and syntax highlighting?,1045840,40
Is there a way to crack the password on an Excel VBA Project?,1044815,22
How to downgrade from Internet Explorer 11 to Internet Explorer 10?,1044449,3
Calculate difference between two dates (number of days)?,1044159,15
"What does <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> do?",1042931,12
Rename column SQL Server 2008,1041540,10
Lost httpd.conf file located apache,1041038,2
How can I update npm on Windows?,1040785,29
How do I replace NA values with zeros in an R dataframe?,1040405,17
How to get value of selected radio button?,1039640,26
Add days to JavaScript Date,1039289,41
Using CSS for fade-in effect on page load,1039207,3
How to get a date in YYYY-MM-DD format from a TSQL datetime field?,1036569,21
if else statement in AngularJS templates,1036168,9
Convert array to JSON,1035768,11
How to print colored text in terminal in Python?,1034466,38
How can I write to the console in PHP?,1034119,23
Show/hide 'div' using JavaScript,1034090,12
How can I check for NaN values?,1033416,15
Submit a form using jQuery,1033071,22
"How to join (merge) data frames (inner, outer, left, right)",1032572,13
"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?",1032421,27
How to get current time and date in C++?,1031778,23
How to fully delete a git repository created with init?,1031098,22
Showing all errors and warnings,1030620,6
JavaScript - onClick to get the ID of the clicked button,1028781,14
"javac is not recognized as an internal or external command, operable program or batch file",1028720,6
Using node.js as a simple web server,1028239,30
How to get current formatted date dd/mm/yyyy in Javascript and append it to an input,1028196,7
What is the single most influential book every programmer should read?,1028119,214
Git pull a certain branch from GitHub,1027967,11
Why is the Android emulator so slow? How can we speed up the Android emulator?,1027391,77
How can I position my div at the bottom of its container?,1026803,22
jQuery get value of selected radio button,1026037,25
How to get an enum value from a string value in Java?,1025598,26
What's the best UML diagramming tool?,1024852,50
How to move an element into another element?,1024720,14
How do I create an Excel (.XLS and .XLSX) file in C# without installing Microsoft Office?,1023116,42
How do I make a delay in Java?,1020810,8
Sort ArrayList of custom Objects by property,1020785,25
Get all table names of a particular database by SQL query?,1020517,14
Font scaling based on width of container,1020245,32
How to create an empty file at the command line in Windows?,1019805,32
Get checkbox value in jQuery,1018985,15
How to convert UTF-8 byte[] to string?,1018521,13
"Multiple lines of input in <input type=""text"" />",1017548,6
Converting string to byte array in C#,1017304,13
How to upgrade all Python packages with pip?,1017252,53
JavaScript string newline character?,1017174,15
Send POST data using XMLHttpRequest,1016976,10
How do I use PHP to get the current year?,1016693,25
Find the version of an installed npm package,1016285,23
Getting Chrome to accept self-signed localhost certificate,1015495,42
How to get image size (height & width) using JavaScript?,1014847,26
How to get a Docker container's IP address from the host?,1014571,46
400 BAD request HTTP error code meaning?,1013911,8
Implements vs extends: When to use? What's the difference?,1013714,17
Bat file to run a .exe at the command prompt,1012915,11
JavaScript sleep/wait before continuing,1012057,1
Check if a Python list item contains a string inside another string,1011122,16
SQL select only rows with max value on a column,1009948,27
"Dealing with ""java.lang.OutOfMemoryError: PermGen space"" error",1009336,32
How can I concatenate two arrays in Java?,1009198,58
How do you remove all the options of a select box and then add one option and select it with jQuery?,1008759,23
"grep a file, but show several surrounding lines?",1008755,11
Auto increment primary key in SQL Server Management Studio 2012,1008426,9
How to get the URL of the current page in C#,1007756,9
Should I use != or <> for not equal in T-SQL?,1006889,14
Putting a simple if-then-else statement on one line,1005986,5
How to set value of input text using jQuery,1005802,7
Linux error while loading shared libraries: cannot open shared object file: No such file or directory,1005164,18
How do I check for null values in JavaScript?,1004544,17
What is the difference between String and string in C#?,1004070,63
"Opacity of background-color, but not the text",1003965,5
How is an HTTP POST request made in node.js?,1003648,19
Making a div vertically scrollable using CSS,1002261,7
Styling multi-line conditions in 'if' statements?,1001913,29
"In the shell, what does "" 2>&1 "" mean?",999926,15
How can I check whether a radio button is selected with JavaScript?,997534,26
How to wait 5 seconds with jQuery?,997352,8
When to use LinkedList over ArrayList in Java?,997101,31
Redirect all output to file,996594,10
Convert a PHP object to an associative array,995716,29
What is the result of % in Python?,995146,19
No compiler is provided in this environment. Perhaps you are running on a JRE rather than a JDK?,994739,31
How to print a number with commas as thousands separators in JavaScript,994466,46
How To Auto-Format / Indent XML/HTML in Notepad++,993557,8
Is there a way to get the source code from an APK file?,993377,21
Check/Uncheck checkbox with JavaScript (jQuery or Vanilla)?,993333,10
"How can I create a ""Please Wait, Loading..."" animation using jQuery?",993259,14
".gitignore and ""The following untracked working tree files would be overwritten by checkout""",992110,28
Git merge master into feature branch,992011,7
Homebrew install specific version of formula?,991900,24
Getting current date and time in JavaScript,991852,27
Regular Expression for alphanumeric and underscores,990231,17
What is the difference between varchar and nvarchar?,990231,18
How can I connect to Android with ADB over TCP?,990195,32
How to find if directory exists in Python,990070,11
Best way to convert string to bytes in Python 3?,989731,5
How to convert a comma separated string to an array?,989496,11
How to display Toast in Android?,989176,19
Enter key press event in JavaScript,988512,17
How to get client's IP address using JavaScript?,988383,50
Maximum call stack size exceeded error,988140,27
Download File Using Javascript/jQuery,987779,27
Python integer incrementing with ++,987270,8
How do I make a textbox that only accepts numbers?,986177,34
MySQL ERROR 1045 (28000): Access denied for user 'bill'@'localhost' (using password: YES),985963,33
"Is there a link to the ""latest"" jQuery library on Google APIs?",985570,12
How to delete a remote tag?,985550,21
No connection could be made because the target machine actively refused it?,985232,24
How to mkdir only if a dir does not already exist?,984470,14
How do I compare two string variables in an 'if' statement in Bash?,984284,12
How can I parse JSON with C#?,983581,14
How to solve java.lang.NoClassDefFoundError?,983475,23
Extracting specific columns from a data frame,983332,9
Make iframe automatically adjust height according to the contents without using scrollbar?,983170,17
Storing Objects in HTML5 localStorage,983016,28
How do I escape a single quote in SQL Server?,982883,10
How to make IPython notebook matplotlib plot inline,982473,10
How to use java.net.URLConnection to fire and handle HTTP requests,982121,11
ImportError: No module named requests,981070,26
jQuery date formatting,980119,22
What is the correct way to check for string equality in JavaScript?,979950,8
Does Python's time.time() return the local or UTC timestamp?,979937,7
Show a number to 2 decimal places,979195,21
Reverse a string in Java,978757,39
Command line for looking at specific port,978643,12
Counting the number of elements with the values of x in a vector,977755,14
Best way to convert an ArrayList to a string,977401,28
What __init__ and self do on Python?,977226,18
How to check if a file exists from inside a batch file,976664,3
How can you encode a string to Base64 in JavaScript?,976104,23
Including all the jars in a directory within the Java classpath,975734,24
How do I download a file over HTTP using Python?,975088,22
Which version of Python do I have installed?,974892,20
How can I generate an MD5 hash?,973979,33
Copying files from host to Docker container,973750,37
Best way to find if an item is in a JavaScript array?,973643,8
Close Bootstrap Modal,972732,23
How to install packages using pip according to the requirements.txt file from a local directory?,972545,10
How can I make a button redirect my page to another page?,971769,5
Cast Double to Integer in Java,970324,17
How to read all files in a folder from Java?,969220,31
How do I iterate over a range of numbers defined by variables in Bash?,968636,20
Add one row to pandas DataFrame,967971,19
File to byte[] in Java,967374,23
Remove stubborn underline from link,966460,16
How to properly ignore exceptions,966102,11
How to create a .gitignore file,966011,38
"Difference between CR LF, LF and CR line break types?",964486,9
Why are there two ways to unstage a file in Git?,963901,10
Getting git to work with a proxy server,963342,19
C++ IDE for Linux?,962940,45
Response to preflight request doesn't pass access control check,962826,20
var functionName = function() {} vs function functionName() {},961788,38
How to add an image to a JPanel?,961233,14
Difference between == and === in JavaScript,961020,2
Align image in center and middle within div,960821,33
"PHP + curl, HTTP POST sample code?",959253,11
"Creating an empty Pandas DataFrame, then filling it?",959052,5
How to make a vertical line in HTML,958469,21
How can I get the application's path in a .NET console application?,958376,26
Preview an image before it is uploaded,958136,21
Set HTTP header to UTF-8 using PHP,957836,6
How to convert Java String into byte[]?,957517,8
How do you push a tag to a remote repository using Git?,957070,8
How to read a local text file?,956145,17
Change the maximum upload file size,956119,15
Change the image source on rollover using jQuery,955992,14
"In Windows cmd, how do I prompt for user input and use the result in another command?",955575,12
jQuery: Return data after ajax call success,955314,5
"href=""tel:"" and mobile numbers",955224,5
Convert all strings in a list to int,954822,3
$(document).ready equivalent without jQuery,954748,33
String comparison in Python: is vs. ==,953848,4
How do I reformat HTML code using Sublime Text 2?,951964,15
Resolving javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed Error?,950850,16
How can I get my Twitter Bootstrap buttons to right align?,950027,17
Calling the base constructor in C#,949823,10
How to merge two arrays in JavaScript and de-duplicate items,948960,73
How do I round a decimal value to 2 decimal places (for output on a page),948890,16
String formatting: % vs. .format,948851,16
How do I delete rows in a data frame?,947944,7
"Is there any way to change input type=""date"" format?",947452,13
Check if a value is an object in JavaScript,947206,39
How do I change directory (cd) in Python?,945822,14
ORA-00054: resource busy and acquire with NOWAIT specified or timeout expired,945711,14
Pythonic way to create a long multi-line string,944834,23
How can I remove a style added with .css() function?,943724,18
Define global variable in a JavaScript function,943468,11
How to list the tables in a SQLite database file that was opened with ATTACH?,942065,17
What are the possible values of the Hibernate hbm2ddl.auto configuration and what do they do,941256,13
Passing parameters to a Bash function,940425,7
How do I concatenate const/literal strings in C?,939576,17
How to change PostgreSQL user password?,939504,13
How to write a:hover in inline CSS?,939281,21
How do I query for all dates greater than a certain date in SQL Server?,938339,5
Set the table column width constant regardless of the amount of text in its cells?,938180,15
Convert form data to JavaScript object with jQuery,936507,47
How do I declare a global variable in VBA?,935697,8
How to convert integer to string in C?,932958,3
Identify if a string is a number,932613,25
How to set the text color of TextView in code?,931592,34
Is there a way to cache GitHub credentials for pushing commits?,930565,23
How to use the PI constant in C++,929162,19
How do I get the full path of the current file's directory?,928763,12
How to align checkboxes and their labels consistently cross-browsers,928001,39
What is __init__.py for?,926412,11
Concatenate item in list to strings,925587,5
What is the best way to add options to a select from as a JS object with jQuery?,925210,34
How do you check if a variable is an array in JavaScript?,924874,23
Converting unix timestamp string to readable date,924683,14
Generating a Random Number between 1 and 10 Java,924042,3
How to append text to an existing file in Java,923614,30
How to close current tab in a browser window?,922688,14
Remove leading or trailing spaces in an entire column of data,921752,6
How to make an image center (vertically & horizontally) inside a bigger div,921718,36
What are the differences between a pointer variable and a reference variable in C++?,921476,37
Convert Month Number to Month Name Function in SQL,921429,31
Environment variables for java installation,920238,14
403 Forbidden vs 401 Unauthorized HTTP responses,919544,15
"The ""right"" JSON date format",919409,14
What is the difference between float and double?,919229,11
Is there a unique Android device ID?,919053,45
Responsive font size in CSS,919027,27
What could cause java.lang.reflect.InvocationTargetException?,918034,13
Config Error: This configuration section cannot be used at this path,917408,31
How do I retrieve an HTML element's actual width and height?,917329,13
Remove a symlink to a directory,916774,9
JavaScript window resize event,916593,12
Format number to always show 2 decimal places,916386,28
Using group by on multiple columns,916309,2
How do I use $scope.$watch and $scope.$apply in AngularJS?,916250,7
MySQL - UPDATE query based on SELECT Query,915916,12
What is the preferred syntax for defining enums in JavaScript?,915538,44
How to get the position of a character in Python?,915141,8
Parse (split) a string in C++ using string delimiter (standard C++),914684,13
How do I prompt for Yes/No/Cancel input in a Linux shell script?,914344,29
How do you get centered content using Twitter Bootstrap?,913916,23
Ignoring directories in Git repos on Windows,912836,17
How to use threading in Python?,912759,20
"How to check if a string ""StartsWith"" another string?",912750,18
"How to solve ""Plugin execution not covered by lifecycle configuration"" for Spring Data Maven Builds",911968,33
HTTP GET with request body,911620,18
How can I generate a list of files with their absolute path in Linux?,911541,12
Eclipse - no Java (JRE) / (JDK) ... no virtual machine,911291,33
Correct format specifier for double in printf,911199,6
How to force cp to overwrite without confirmation,911131,15
"How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3?",909902,9
How to kill a process running on particular port in Linux?,909446,20
Remove the last character from string,908669,4
map function for objects (instead of arrays),908557,33
The located assembly's manifest definition does not match the assembly reference,908529,50
Uncaught SyntaxError: Unexpected token :,908146,31
Returning JSON from a PHP Script,908074,17
AsyncTask Android example,908003,20
How do I expire a PHP session after 30 minutes?,907146,13
How can I transition height: 0; to height: auto; using CSS?,905805,44
What is the optimal algorithm for the game 2048?,905549,14
How to run a function when the page is loaded?,905213,9
How to send HTTP request in java?,905002,9
Running shell command and capturing the output,904976,15
Find and restore a deleted file in a Git repository,904856,23
Static methods in Python?,904456,10
C: What is the difference between ++i and i++?,904124,21
How do you select a particular option in a SELECT element in jQuery?,903530,20
How to get the filename without the extension from a path in Python?,903320,21
Easy way to pull latest of all git submodules,903274,19
Set cookie and get cookie with JavaScript,902310,4
What does cherry-picking a commit with Git mean?,902236,9
How can I echo a newline in a batch file?,902186,18
How to insert a line break in a SQL Server VARCHAR/NVARCHAR string,902021,9
"""PKIX path building failed"" and ""unable to find valid certification path to requested target""",901902,29
How to specify the private SSH-key to use when executing shell command on Git?,901780,24
Create a branch in Git from another branch,901312,7
Hex transparency in colors,901185,10
@Media min-width & max-width,900770,4
Copy array items into another array,899451,15
How do I create an array of strings in C?,899380,14
What does enctype='multipart/form-data' mean?,899115,9
How to delete files/subfolders in a specific directory at command prompt in Windows,897814,15
How do I convert a float number to a whole number in JavaScript?,897604,14
PHP - how to create a newline character?,897478,13
"String concatenation: concat() vs ""+"" operator",896896,11
Why do I need to do `--set-upstream` all the time?,896716,20
How do I see active SQL Server connections?,896698,7
Select first row in each GROUP BY group?,896647,14
How to return dictionary keys as a list in Python?,895789,8
check / uncheck checkbox using jquery?,895710,3
